date,day_of_week,meal_type,number_of_plates_served,number_of_plates_returned_with_food,special_event,food_wasted
2023-01-01,Sunday,Breakfast,247,50,None,24.733251865342933
2023-01-02,Thursday,Breakfast,416,44,None,6.9079215550666335
2023-01-03,Friday,Breakfast,482,43,None,12.880876239363324
2023-01-04,Sunday,Breakfast,460,4,None,1.3890491749089906
2023-01-05,Wednesday,Lunch,100,69,None,26.288033187017273
2023-01-06,Friday,Breakfast,486,25,Holiday,8.09648683486914
2023-01-07,Friday,Dinner,447,67,None,6.9618587108341226
2023-01-08,Sunday,Dinner,289,18,None,4.150521419356742
2023-01-09,Tuesday,Breakfast,290,83,None,25.48802656037242
2023-01-10,Wednesday,Breakfast,468,96,None,12.974073567161602
2023-01-11,Sunday,Dinner,411,19,None,4.564764677189774
2023-01-12,Wednesday,Dinner,216,11,None,1.246093678682013
2023-01-13,Wednesday,Lunch,233,46,None,6.045844347652382
2023-01-14,Friday,Dinner,157,0,None,0.0
2023-01-15,Thursday,Lunch,143,89,None,13.624680843932948
2023-01-16,Wednesday,Lunch,272,13,None,4.251212410960102
2023-01-17,Saturday,Lunch,259,63,None,23.674517222259098
2023-01-18,Friday,Lunch,272,37,None,15.548683146814426
2023-01-19,Tuesday,Lunch,416,36,None,6.482163517125266
2023-01-20,Thursday,Breakfast,402,10,None,1.669930329036279
2023-01-21,Saturday,Dinner,248,99,Festival,14.04088647724225
2023-01-22,Saturday,Lunch,179,76,None,26.947479586126562
2023-01-23,Tuesday,Dinner,473,2,None,0.7651805811895209
2023-01-24,Thursday,Dinner,312,32,None,3.6043026537682183
2023-01-25,Friday,Lunch,302,5,None,2.37242449248738
2023-01-26,Monday,Breakfast,351,49,Holiday,5.91863715956886
2023-01-27,Thursday,Lunch,328,9,None,2.8486668070838537
2023-01-28,Tuesday,Breakfast,263,4,None,1.5344968311214662
2023-01-29,Saturday,Dinner,326,22,None,9.864528288965554
2023-01-30,Friday,Breakfast,246,9,None,3.4707129556767398
2023-01-31,Thursday,Breakfast,119,43,None,18.08972302880042
2023-02-01,Monday,Breakfast,146,1,None,0.23578007701712245
2023-02-02,Monday,Dinner,332,12,None,5.1111605459832585
2023-02-03,Wednesday,Dinner,404,39,None,5.149791603600932
2023-02-04,Wednesday,Breakfast,113,1,None,0.4579266624242111
2023-02-05,Sunday,Breakfast,242,83,Holiday,26.480066888304044
2023-02-06,Tuesday,Lunch,100,64,None,27.322822911039843
2023-02-07,Thursday,Breakfast,472,62,None,17.417493456053844
2023-02-08,Thursday,Lunch,153,72,None,25.735037621659917
2023-02-09,Sunday,Breakfast,473,16,None,4.968977029991125
2023-02-10,Saturday,Lunch,358,8,None,3.141086469617062
2023-02-11,Saturday,Dinner,243,74,Holiday,9.816247468105452
2023-02-12,Sunday,Breakfast,111,14,None,1.7379716703471573
2023-02-13,Saturday,Breakfast,429,23,None,4.573349752893347
2023-02-14,Wednesday,Breakfast,323,37,None,6.061261265675188
2023-02-15,Thursday,Breakfast,371,34,None,15.256256505653946
2023-02-16,Sunday,Lunch,457,93,None,17.45476032971925
2023-02-17,Thursday,Breakfast,255,94,None,46.09253361879934
2023-02-18,Monday,Dinner,472,48,None,11.268399202005252
2023-02-19,Wednesday,Dinner,107,68,None,11.75360730673262
2023-02-20,Friday,Breakfast,221,61,None,25.36864357427649
2023-02-21,Wednesday,Dinner,447,59,None,21.44550350182068
2023-02-22,Sunday,Breakfast,263,49,None,14.664636042481524
2023-02-23,Friday,Breakfast,189,77,None,24.805197368879043
2023-02-24,Monday,Dinner,235,74,None,28.688372636859015
2023-02-25,Sunday,Breakfast,285,8,None,1.531055172260156
2023-02-26,Tuesday,Dinner,415,33,None,16.451607691948993
2023-02-27,Thursday,Lunch,277,75,None,36.74379486440349
2023-02-28,Monday,Breakfast,127,98,None,35.292766904799926
2023-03-01,Thursday,Lunch,319,34,Holiday,6.113777332636374
2023-03-02,Saturday,Dinner,456,0,None,0.0
2023-03-03,Tuesday,Lunch,140,39,None,5.026295180075143
2023-03-04,Tuesday,Lunch,327,63,None,7.072443055586313
2023-03-05,Monday,Dinner,291,21,None,4.264536263494195
2023-03-06,Tuesday,Lunch,244,59,None,16.817901779047865
2023-03-07,Friday,Lunch,300,63,None,28.180467136291192
2023-03-08,Tuesday,Dinner,311,92,None,35.959821767400136
2023-03-09,Thursday,Lunch,319,71,None,28.192865202079464
2023-03-10,Thursday,Dinner,339,10,None,2.7019733377923014
2023-03-11,Sunday,Lunch,496,13,None,3.098861961244207
2023-03-12,Thursday,Dinner,145,59,None,14.656514806436624
2023-03-13,Sunday,Dinner,134,29,None,14.356734939338272
2023-03-14,Thursday,Lunch,352,34,None,3.945485003209762
2023-03-15,Friday,Lunch,489,84,None,37.532258269714276
